1503600471345,-1, 0, 0, -1, -1, -2, -1, 2, 0
1503600471365,1, 0, -2, -1, -1, -2, -1, 0, 0
1503600471388,0, -2, 0, -2, -2, 0, 0, 0, 0
1503600471403,1, 1, 0, 1, 2, -1, 0, -1, 0
1503600471426,1, 0, 0, -1, -2, -1, -1, -1, 0
1503600471448,-1, -1, -3, -1, -1, -1, -3, -1, 0
1503600471463,-5, -3, -2, -1, 0, 0, -1, -3, 0
1503600471485,-4, -4, -3, -2, -2, -1, -2, -5, 0
1503600471523,0, -1, -1, -1, -2, 1, 0, 2, 0
1503600471548,-1, 1, 0, 0, -1, 0, 2, 0, 0
1503600471568,-3, 0, 1, 2, 0, -1, -1, -1, 0
1503600471583,-1, 1, -1, -2, -1, 0, -2, -1, 0
1503600471605,1, 0, -1, 0, -1, -1, -1, 0, 0
1503600471628,-3, -2, 0, -1, 0, -2, 1, 1, 0
1503600471643,0, 0, -1, 1, -2, -1, -2, -1, 0
1503600471665,1, 1, -2, -1, -1, 0, -2, -1, 0
1503600471688,-1, -2, -1, -1, 0, -1, -2, -2, 0
1503600471703,-1, -1, -1, -1, 0, 0, -1, 0, 0
1503600471726,-2, -1, -1, -1, -1, -1, -1, -6, 0
1503600471750,1, -2, 0, 0, -1, -2, -1, 1, 0
1503600471763,-3, 0, -2, -2, 0, 1, 1, -2, 0
1503600471785,-4, -3, -1, -2, -2, 0, -4, -3, 0
1503600471808,0, -1, -2, -2, -1, -3, 0, 1, 0
1503600471823,1, -2, 0, -1, -1, 0, 1, 1, 0
1503600471845,-2, 1, -1, -2, 0, 0, 2, 1, 0
1503600471868,1, 0, -2, -1, -1, -1, -1, 1, 0
1503600471898,4, 2, 0, -2, -1, 0, 0, 4, 0
1503600471913,0, 0, -1, 0, 2, -1, 0, 2, 0
1503600471936,-1, -2, -2, 0, -3, -1, -2, -2, 0
1503600471951,0, -3, -1, 1, -1, -2, -3, -3, 0
1503600471965,-3, -2, 1, -1, -1, 0, -1, -4, 0
1503600471988,-2, 0, 1, 0, -2, -1, 0, -2, 0
1503600472010,-3, -2, -1, -2, 0, -1, -2, -5, 0
1503600472026,3, 0, -1, 0, -1, -1, 0, 2, 0
1503600472048,1, 0, -2, -1, -2, -2, -1, -2, 0
1503600472070,-1, 1, -1, -1, -1, -2, -1, -1, 0
1503600472092,1, 0, 0, -1, -2, 0, 0, 0, 0
1503600472108,0, 1, 1, 1, 0, 0, 0, -1, 0
1503600472130,0, 0, -1, 0, 0, -1, 0, 2, 0
1503600472145,-2, -3, -1, -1, -1, -1, -1, -2, 0
1503600472168,-3, -2, -4, -3, 0, -1, -3, -3, 0
1503600472191,-1, 0, 1, -2, -1, -1, 0, 0, 0
1503600472205,-1, -1, 0, -1, 0, 0, -1, 0, 0
1503600472228,-4, 0, -2, 2, 0, -1, -2, -3, 0
1503600472256,1, -1, 0, 1, 0, 0, 0, 0, 0
1503600472265,-1, -2, -1, -1, -1, -1, 0, 0, 0
1503600472288,-2, -1, -1, -1, -1, -1, 0, -1, 0
1503600472310,1, 1, 0, 0, 1, 1, 1, 4, 0
1503600472325,-2, -2, -2, 1, 1, -2, -1, -2, 0
1503600472348,-3, -2, -3, -2, 0, 0, -1, -4, 0
1503600472370,0, -1, -2, -1, -2, 0, -2, -1, 0
1503600472387,0, 1, -1, -1, -1, 0, -1, 0, 0
1503600472408,0, 1, 0, -1, 0, -1, 1, 0, 0
1503600472430,2, 0, 0, -3, 0, 1, -1, 2, 0
1503600472445,0, -1, -2, -2, -3, -2, 0, -2, 0
1503600472468,-2, 0, 2, -1, -1, 0, -2, -3, 0
1503600472490,1, 0, -1, 0, -2, 0, -1, 1, 0
1503600472505,1, -1, -1, 0, 0, 0, 0, 0, 0
1503600472528,-4, -2, 0, -1, -1, -1, 0, -2, 0
1503600472550,-1, 0, 1, 0, -1, -1, 0, 1, 0
1503600472567,3, -1, 0, 0, -2, 0, -1, 3, 0
1503600472589,-4, -1, -1, 1, 0, -1, -3, -5, 0
