Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw,Window
1503600471350,-0.166,-0.047,-0.238,-0.956,+0.497,+0.020,-0.846,-1.062,+0.562,+0.938,-1, 0, 0, -1, -1, -2, -1, 2,0.3466797961584071,0.4900483867375207,0
1503600471376,-0.166,-0.047,-0.238,-0.956,+0.501,+0.017,-0.847,-0.938,-0.250,+0.812,1, 0, -2, -1, -1, -2, -1, 0,0.3466797961584071,0.4900483867375207,0
1503600471395,-0.166,-0.047,-0.238,-0.956,+0.493,+0.017,-0.845,-0.875,+0.125,+0.500,0, -2, 0, -2, -2, 0, 0, 0,0.3466797961584071,0.4900483867375207,0
1503600471410,-0.166,-0.047,-0.238,-0.956,+0.490,+0.020,-0.847,-0.875,+0.250,+0.375,1, 1, 0, 1, 2, -1, 0, -1,0.3466797961584071,0.4900483867375207,0
1503600471433,-0.166,-0.047,-0.238,-0.956,+0.497,+0.021,-0.852,-0.938,-0.188,+0.312,1, 0, 0, -1, -2, -1, -1, -1,0.3466797961584071,0.4900483867375207,0
1503600471455,-0.166,-0.047,-0.238,-0.956,+0.500,+0.020,-0.848,-1.000,+0.562,+0.250,-1, -1, -3, -1, -1, -1, -3, -1,0.3466797961584071,0.4900483867375207,0
1503600471477,-0.166,-0.047,-0.238,-0.956,+0.495,+0.020,-0.849,-0.938,-0.125,+0.500,-5, -3, -2, -1, 0, 0, -1, -3,0.3466797961584071,0.4900483867375207,0
1503600471519,-0.166,-0.047,-0.238,-0.956,+0.494,+0.014,-0.849,-0.938,+0.312,+0.562,-4, -4, -3, -2, -2, -1, -2, -5,0.3466797961584071,0.4900483867375207,0
1503600471525,-0.166,-0.047,-0.238,-0.956,+0.496,+0.016,-0.850,-1.250,+0.125,+0.250,0, -1, -1, -1, -2, 1, 0, 2,0.3466797961584071,0.4900483867375207,0
1503600471538,-0.166,-0.047,-0.238,-0.956,+0.499,+0.015,-0.848,-1.438,-0.125,+0.438,-1, 1, 0, 0, -1, 0, 2, 0,0.3466797961584071,0.4900483867375207,0
1503600471552,-0.166,-0.047,-0.238,-0.956,+0.498,+0.021,-0.846,-1.188,-0.438,+0.375,-3, 0, 1, 2, 0, -1, -1, -1,0.3466797961584071,0.4900483867375207,0
1503600471575,-0.166,-0.047,-0.238,-0.956,+0.496,+0.016,-0.848,-1.375,+0.312,+0.438,-1, 1, -1, -2, -1, 0, -2, -1,0.3466797961584071,0.4900483867375207,0
1503600471597,-0.166,-0.047,-0.238,-0.956,+0.499,+0.017,-0.850,-0.938,-1.125,+0.500,1, 0, -1, 0, -1, -1, -1, 0,0.3466797961584071,0.4900483867375207,0
1503600471616,-0.166,-0.047,-0.238,-0.956,+0.494,+0.018,-0.845,-1.250,-0.125,+0.500,-3, -2, 0, -1, 0, -2, 1, 1,0.3466797961584071,0.4900483867375207,0
1503600471634,-0.166,-0.047,-0.238,-0.956,+0.493,+0.016,-0.855,-1.062,-0.812,+0.562,0, 0, -1, 1, -2, -1, -2, -1,0.3466797961584071,0.4900483867375207,0
1503600471657,-0.166,-0.047,-0.238,-0.956,+0.490,+0.022,-0.845,-1.312,-0.125,+0.250,1, 1, -2, -1, -1, 0, -2, -1,0.3466797961584071,0.4900483867375207,0
1503600471673,-0.166,-0.047,-0.238,-0.956,+0.492,+0.020,-0.848,-1.375,+0.000,+0.562,-1, -2, -1, -1, 0, -1, -2, -2,0.3466797961584071,0.4900483867375207,0
1503600471694,-0.166,-0.047,-0.238,-0.956,+0.498,+0.019,-0.842,-1.250,-0.062,+0.438,-1, -1, -1, -1, 0, 0, -1, 0,0.3466797961584071,0.4900483867375207,0
1503600471717,-0.166,-0.047,-0.238,-0.956,+0.497,+0.016,-0.850,-1.375,+0.375,+0.500,-2, -1, -1, -1, -1, -1, -1, -6,0.3466797961584071,0.4900483867375207,0
1503600471732,-0.166,-0.047,-0.238,-0.956,+0.495,+0.014,-0.848,-1.000,-0.375,+0.750,1, -2, 0, 0, -1, -2, -1, 1,0.3466797961584071,0.4900483867375207,0
1503600471755,-0.166,-0.047,-0.238,-0.956,+0.490,+0.019,-0.847,-1.125,+0.000,+0.750,-3, 0, -2, -2, 0, 1, 1, -2,0.3466797961584071,0.4900483867375207,0
1503600471777,-0.166,-0.047,-0.238,-0.956,+0.493,+0.016,-0.850,-1.000,+0.812,+0.688,-4, -3, -1, -2, -2, 0, -4, -3,0.3466797961584071,0.4900483867375207,0
1503600471792,-0.166,-0.047,-0.238,-0.956,+0.498,+0.017,-0.845,-1.188,-0.250,+0.625,0, -1, -2, -2, -1, -3, 0, 1,0.3466797961584071,0.4900483867375207,0
1503600471817,-0.166,-0.047,-0.238,-0.956,+0.495,+0.016,-0.849,-1.062,-0.875,+0.562,1, -2, 0, -1, -1, 0, 1, 1,0.3466797961584071,0.4900483867375207,0
1503600471838,-0.166,-0.047,-0.238,-0.956,+0.499,+0.010,-0.850,-1.125,-0.438,+0.250,-2, 1, -1, -2, 0, 0, 2, 1,0.3466797961584071,0.4900483867375207,0
1503600471852,-0.166,-0.047,-0.238,-0.956,+0.485,+0.018,-0.850,-1.375,-0.625,+0.125,1, 0, -2, -1, -1, -1, -1, 1,0.3466797961584071,0.4900483867375207,0
1503600471884,-0.166,-0.047,-0.238,-0.956,+0.497,+0.020,-0.851,-1.500,+0.312,+0.562,4, 2, 0, -2, -1, 0, 0, 4,0.3466797961584071,0.4900483867375207,0
1503600471898,-0.166,-0.047,-0.238,-0.956,+0.491,+0.018,-0.848,-1.188,-0.625,+0.562,0, 0, -1, 0, 2, -1, 0, 2,0.3466797961584071,0.4900483867375207,0
1503600471912,-0.166,-0.047,-0.238,-0.956,+0.492,+0.018,-0.847,-1.188,+0.375,+0.688,-1, -2, -2, 0, -3, -1, -2, -2,0.3466797961584071,0.4900483867375207,0
1503600471934,-0.166,-0.047,-0.238,-0.956,+0.495,+0.014,-0.849,-1.125,-0.312,+0.688,0, -3, -1, 1, -1, -2, -3, -3,0.3466797961584071,0.4900483867375207,0
1503600471957,-0.166,-0.047,-0.238,-0.956,+0.494,+0.023,-0.842,-1.375,+0.625,+0.562,-3, -2, 1, -1, -1, 0, -1, -4,0.3466797961584071,0.4900483867375207,0
1503600471973,-0.166,-0.047,-0.238,-0.956,+0.499,+0.016,-0.848,-0.938,-0.125,+0.500,-2, 0, 1, 0, -2, -1, 0, -2,0.3466797961584071,0.4900483867375207,0
1503600471995,-0.166,-0.047,-0.238,-0.956,+0.493,+0.018,-0.842,-1.062,-0.062,+0.438,-3, -2, -1, -2, 0, -1, -2, -5,0.3466797961584071,0.4900483867375207,0
1503600472017,-0.166,-0.047,-0.238,-0.956,+0.496,+0.018,-0.849,-1.000,-0.125,+0.312,3, 0, -1, 0, -1, -1, 0, 2,0.3466797961584071,0.4900483867375207,0
1503600472033,-0.166,-0.047,-0.238,-0.956,+0.495,+0.018,-0.845,-0.875,-0.250,+0.375,1, 0, -2, -1, -2, -2, -1, -2,0.3466797961584071,0.4900483867375207,0
1503600472054,-0.166,-0.047,-0.238,-0.956,+0.499,+0.017,-0.849,-1.062,+0.125,+0.188,-1, 1, -1, -1, -1, -2, -1, -1,0.3466797961584071,0.4900483867375207,0
1503600472077,-0.166,-0.047,-0.238,-0.956,+0.493,+0.016,-0.849,-1.000,-0.688,+0.250,1, 0, 0, -1, -2, 0, 0, 0,0.3466797961584071,0.4900483867375207,0
1503600472093,-0.166,-0.047,-0.238,-0.956,+0.495,+0.016,-0.849,-1.312,+0.125,+0.375,0, 1, 1, 1, 0, 0, 0, -1,0.3466797961584071,0.4900483867375207,0
1503600472114,-0.166,-0.047,-0.238,-0.956,+0.495,+0.018,-0.849,-1.188,-0.312,+0.562,0, 0, -1, 0, 0, -1, 0, 2,0.3466797961584071,0.4900483867375207,0
1503600472137,-0.166,-0.047,-0.238,-0.956,+0.499,+0.014,-0.843,-1.312,+0.875,+0.562,-2, -3, -1, -1, -1, -1, -1, -2,0.3466797961584071,0.4900483867375207,0
1503600472153,-0.166,-0.047,-0.238,-0.956,+0.498,+0.015,-0.848,-1.188,-0.250,+0.188,-3, -2, -4, -3, 0, -1, -3, -3,0.3466797961584071,0.4900483867375207,0
1503600472174,-0.166,-0.047,-0.238,-0.956,+0.494,+0.022,-0.845,-1.062,-0.750,+0.375,-1, 0, 1, -2, -1, -1, 0, 0,0.3466797961584071,0.4900483867375207,0
1503600472197,-0.166,-0.047,-0.238,-0.956,+0.492,+0.018,-0.848,-1.312,-0.125,+0.500,-1, -1, 0, -1, 0, 0, -1, 0,0.3466797961584071,0.4900483867375207,0
1503600472213,-0.166,-0.047,-0.238,-0.956,+0.497,+0.016,-0.848,-1.312,-0.375,+0.688,-4, 0, -2, 2, 0, -1, -2, -3,0.3466797961584071,0.4900483867375207,0
1503600472234,-0.166,-0.047,-0.238,-0.956,+0.499,+0.018,-0.853,-1.438,+0.000,+0.750,1, -1, 0, 1, 0, 0, 0, 0,0.3466797961584071,0.4900483867375207,0
1503600472258,-0.166,-0.047,-0.238,-0.956,+0.499,+0.017,-0.850,-1.500,-0.188,+0.500,-1, -2, -1, -1, -1, -1, 0, 0,0.3466797961584071,0.4900483867375207,0
