1503697313328,-2, 0, 0, -1, -1, 0, 0, -3
1503697313343,0, 0, -2, 0, -1, 0, -1, -2
1503697313365,-1, -1, 0, -1, -2, 0, -1, -1
1503697313388,-1, 0, -1, 0, -1, -2, -1, 0
1503697313403,-1, -1, -1, 0, 0, -2, -2, -1
1503697313426,-2, -1, -1, -1, -1, 1, 0, 0
1503697313448,1, -1, 1, 1, 0, 0, 0, 0
1503697313463,-1, -2, -1, -2, 0, -1, 0, -2
1503697313485,0, 0, -1, 0, 0, -2, 0, 0
1503697313494,-3, -2, -1, -1, -2, -1, -1, -2
1503697313516,2, 1, -2, -1, -1, 0, -1, -1
1503697313538,1, -1, -1, -2, 0, -2, -1, -1
1503697313553,-1, 0, -1, -1, -1, -1, 1, 0
1503697313576,1, 0, 1, -2, 0, 0, 0, 0
1503697313598,0, 0, -1, 0, 0, 0, -1, 0
1503697313613,-2, -1, -2, 0, -1, -1, 0, -1
1503697313644,-1, -1, -2, -1, -2, -1, 1, 0
1503697313665,-2, -1, 0, 0, -1, 0, -1, -2
1503697313688,-2, -1, 0, -1, 0, 0, 0, -1
1503697313711,1, -2, -1, 0, -1, -1, -1, -1
1503697313727,0, 1, -1, -1, 1, -1, 0, 0
1503697313748,0, -2, -1, 0, -1, -1, 0, 0
1503697313763,-2, 1, 0, 0, -1, -2, 0, 0
1503697313785,-1, -2, -1, -1, -1, 0, -2, 0
1503697313809,-2, -1, -1, 0, -1, -1, 0, -1
1503697313823,-1, -1, -1, 0, -1, -2, -1, 0
1503697313853,-1, -2, -1, -2, -2, -2, -1, 0
1503697313875,-1, -1, -2, 0, -2, -2, -1, 0
1503697313898,1, 0, 0, 1, -1, 0, -1, -1
1503697313913,0, 1, -1, 0, 0, -2, -2, -1
1503697313935,0, -1, -1, -1, -1, -1, -2, 0
1503697313958,-1, 1, -3, -1, -2, 0, -1, -1
1503697313975,0, 0, 2, -1, 0, 0, -1, -1
1503697313995,0, 0, -1, 0, -1, 0, 0, -3
1503697314017,-3, 0, -1, -1, 0, -2, 0, -2
1503697314033,-3, -2, -1, -1, 0, -1, -1, 0
1503697314055,-1, -2, -1, -2, -1, -1, -1, 1
1503697314077,-1, -1, 0, 0, 0, 0, 0, -1
1503697314106,-1, 0, -2, -3, 1, -1, 0, -1
1503697314128,0, -1, 0, -1, -1, -1, -3, -1
1503697314140,1, -2, -1, -1, -1, -1, 0, 0
1503697314160,-1, 0, 0, -1, -1, 0, 0, -1
1503697314178,-1, 0, -1, -1, -1, -1, -1, -2
1503697314197,-1, 0, 0, -1, 0, -1, -1, -2
1503697314220,0, 0, 0, 0, -2, 0, 0, 1
1503697314236,1, -2, -1, 0, -1, -3, 0, -2
1503697314257,-1, -2, -1, -2, 0, 0, -1, 0
