Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503525236747,+0.408,-0.230,+0.527,-0.709,-0.960,-0.105,-0.303,-11.688,+3.062,+3.188,-2, 0, 3, 1, 12, 0, -6, -26
1503525236770,+0.410,-0.231,+0.526,-0.709,-0.965,-0.114,-0.296,-14.688,+4.938,-1.250,2, 8, 3, -1, -11, -36, 4, 25
1503525236797,+0.412,-0.232,+0.524,-0.708,-0.968,-0.098,-0.310,-16.188,+5.062,-3.375,0, -4, 0, 2, 16, 2, 5, 10
1503525236808,+0.414,-0.232,+0.522,-0.709,-0.956,-0.081,-0.362,-12.875,+11.438,-3.500,1, -1, 1, -2, -8, -19, -6, -20
1503525236830,+0.416,-0.232,+0.518,-0.710,-0.941,-0.092,-0.374,-10.875,+19.812,-2.688,3, -3, -3, 0, -2, -5, 0, 16
1503525236852,+0.418,-0.231,+0.515,-0.712,-0.890,-0.102,-0.403,-8.000,+12.375,-3.250,-2, -1, -1, -2, 0, -8, -8, -16
1503525236869,+0.419,-0.231,+0.514,-0.712,-0.852,-0.124,-0.370,-5.812,+2.000,-3.250,0, -2, -2, -1, -8, 8, -2, 0
1503525236889,+0.420,-0.231,+0.515,-0.710,-0.874,-0.128,-0.325,-6.250,-11.375,-3.312,1, 11, 3, 0, 0, -12, -3, 8
1503525236912,+0.420,-0.233,+0.517,-0.708,-0.949,-0.110,-0.337,-5.000,-19.125,-1.938,-5, -5, 0, 1, -9, 5, 7, -1
1503525236935,+0.420,-0.234,+0.519,-0.707,-1.016,-0.115,-0.346,-1.625,-15.188,-0.562,8, 1, 1, 3, 1, 5, 0, 27
1503525236949,+0.420,-0.234,+0.519,-0.707,-1.020,-0.116,-0.336,-2.188,-2.688,+2.438,7, -4, -14, -4, 8, 6, 3, -16
1503525236972,+0.419,-0.234,+0.518,-0.708,-0.986,-0.095,-0.282,+0.438,+11.312,+3.688,-5, -3, -4, -3, -2, -4, -4, -12
1503525236988,+0.418,-0.233,+0.517,-0.710,-0.930,-0.084,-0.322,+4.875,+12.062,+12.688,-12, -21, 4, 5, 1, -3, -1, -4
1503525237009,+0.417,-0.232,+0.515,-0.712,-0.955,-0.117,-0.340,+3.000,+15.562,+10.562,-5, -1, 1, -1, 0, 1, -7, -30
1503525237032,+0.418,-0.232,+0.514,-0.712,-0.951,-0.140,-0.292,-3.938,+8.625,+0.875,-4, -1, -3, -4, -4, 8, -1, -5
1503525237047,+0.418,-0.233,+0.514,-0.712,-0.963,-0.095,-0.294,-7.250,+2.500,+0.875,4, 1, 0, -3, 0, 1, 0, 2
1503525237071,+0.418,-0.233,+0.512,-0.713,-0.989,-0.074,-0.349,-2.500,+7.938,+1.562,-3, 1, -2, 1, 4, 8, 0, -9
1503525237092,+0.419,-0.232,+0.510,-0.714,-0.976,-0.079,-0.376,-2.562,+12.438,+1.250,1, 1, 3, -2, -1, -6, -2, 8
1503525237107,+0.420,-0.232,+0.508,-0.716,-0.931,-0.089,-0.355,-4.562,+13.812,+1.750,0, 2, 3, -5, -7, -13, 5, 24
1503525237133,+0.421,-0.232,+0.507,-0.716,-0.910,-0.082,-0.327,-5.312,+8.000,-2.500,-7, -5, -4, -3, -1, 10, -2, -38
1503525237153,+0.422,-0.232,+0.507,-0.715,-0.912,-0.093,-0.310,-5.750,-2.750,-5.875,6, 8, 3, 4, 23, 20, 5, -18
1503525237168,+0.423,-0.232,+0.508,-0.713,-0.944,-0.087,-0.354,-6.375,-8.125,-8.500,4, 0, -3, -3, -9, -19, -12, -2
1503525237190,+0.424,-0.233,+0.508,-0.712,-0.952,-0.084,-0.354,-7.438,-3.562,-7.625,-3, -3, 2, -2, -7, -8, -1, -9
1503525237212,+0.426,-0.233,+0.508,-0.712,-0.918,-0.083,-0.379,-6.438,+0.062,-6.312,3, 5, 0, -3, -13, -9, 11, 83
1503525237230,+0.427,-0.232,+0.507,-0.712,-0.905,-0.086,-0.362,-5.438,+2.375,-6.062,2, -7, -3, 2, 3, -7, 5, 14
1503525237249,+0.428,-0.233,+0.507,-0.711,-0.933,-0.098,-0.345,-7.188,+0.500,-6.188,-6, -8, -4, 0, 6, 61, -18, -28
1503525237272,+0.430,-0.233,+0.506,-0.710,-0.944,-0.091,-0.353,-6.750,-0.312,-7.312,-5, -10, -2, -1, -5, -7, 10, 4
1503525237289,+0.431,-0.233,+0.506,-0.710,-0.941,-0.095,-0.358,-6.375,+2.438,-3.688,1, -1, -1, -2, -5, -8, 0, -8
1503525237310,+0.432,-0.233,+0.505,-0.710,-0.940,-0.102,-0.362,-5.188,+5.250,-2.375,-1, -4, -4, -5, -9, -24, -2, 8
1503525237333,+0.433,-0.232,+0.504,-0.710,-0.927,-0.108,-0.364,-4.938,+4.750,-3.188,-2, -1, -1, -4, -12, -6, -5, -6
1503525237348,+0.434,-0.232,+0.504,-0.710,-0.941,-0.125,-0.339,-4.812,+3.750,-2.438,-3, -3, 1, 2, 8, 29, 8, 18
1503525237370,+0.435,-0.232,+0.503,-0.710,-0.961,-0.121,-0.341,-6.688,+2.812,-3.375,4, -2, -4, -6, -8, -6, 5, 31
1503525237392,+0.436,-0.232,+0.502,-0.710,-0.973,-0.113,-0.360,-5.125,+6.438,-3.750,-5, -6, -3, -4, -7, -13, -5, -6
1503525237408,+0.437,-0.231,+0.501,-0.710,-0.967,-0.116,-0.398,-1.875,+7.625,-3.188,-2, 6, 4, -1, -1, -5, 0, -17
1503525237433,+0.438,-0.229,+0.500,-0.711,-0.971,-0.124,-0.413,+0.250,+9.500,-5.562,10, 0, -1, 1, -3, 20, 4, 30
1503525237452,+0.439,-0.228,+0.500,-0.711,-0.984,-0.122,-0.382,+1.750,+8.875,-8.500,-7, 1, 1, 3, 9, 7, 4, 3
1503525237468,+0.440,-0.225,+0.500,-0.711,-0.986,-0.125,-0.384,+5.938,+6.375,-12.125,2, 0, 0, 2, 0, 7, -2, 1
1503525237490,+0.442,-0.222,+0.501,-0.710,-0.989,-0.141,-0.410,+9.938,+3.875,-17.375,-1, -1, 0, 0, 8, 9, -5, -16
1503525237512,+0.443,-0.218,+0.503,-0.710,-1.016,-0.154,-0.438,+15.375,+0.625,-21.500,-3, -8, -5, -1, -5, -9, -9, -11
1503525237540,+0.445,-0.212,+0.505,-0.709,-1.029,-0.176,-0.456,+24.438,+1.875,-28.812,1, -2, 0, 2, 3, -6, 4, 2
1503525239793,+0.380,-0.273,+0.541,-0.699,-1.009,-0.000,-0.192,+2.688,+9.625,+8.312,2, -4, 1, -2, -2, -11, -3, 13
1503525239816,+0.380,-0.273,+0.540,-0.700,-1.039,-0.013,-0.206,-0.688,+11.312,+7.188,0, 1, -1, -4, 2, 12, 2, -4
1503525239830,+0.380,-0.273,+0.537,-0.702,-1.030,+0.000,-0.221,-2.625,+21.062,+3.125,6, 17, -9, 35, 9, 15, 3, -12
1503525239856,+0.381,-0.272,+0.534,-0.704,-1.022,+0.019,-0.212,-4.250,+26.250,+1.438,-1, -6, -1, 1, -2, -3, -1, 7
