Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503945524892,+0.836,+0.469,+0.239,+0.157,+0.862,-0.273,-0.413,-1.625,+15.688,+2.562,8, 0, 4, 0, -5, -6, 0, -5
1503945524908,+0.835,+0.470,+0.239,+0.157,+0.936,-0.223,-0.366,+0.062,+2.625,-2.812,-4, -8, -4, 2, -2, -5, -9, 9
1503945524933,+0.835,+0.471,+0.238,+0.159,+0.839,-0.209,-0.386,-0.500,+1.875,-7.312,51, 6, 16, 1, 0, 0, 25, 88
1503945524960,+0.834,+0.472,+0.238,+0.159,+0.762,-0.239,-0.385,+1.000,+12.938,-5.812,-29, -1, -8, -5, 1, -3, 8, -12
1503945524975,+0.831,+0.477,+0.238,+0.159,+0.920,-0.212,-0.371,-2.000,+28.125,-5.562,6, -12, -8, 1, -4, 0, -6, -26
1503945524990,+0.830,+0.479,+0.237,+0.160,+0.985,-0.175,-0.474,+0.938,+14.250,-5.438,-13, -17, -8, -1, -1, 4, -13, -18
1503945525012,+0.829,+0.478,+0.239,+0.162,+0.891,-0.201,-0.425,+17.188,-0.688,-4.062,1, 2, -4, -3, -3, -1, 3, 25
1503945525038,+0.828,+0.479,+0.241,+0.164,+0.796,-0.228,-0.359,+14.062,+3.500,-5.375,-14, 13, -9, -8, -4, -2, 0, 8
1503945525050,+0.825,+0.484,+0.243,+0.163,+0.896,-0.188,-0.373,+7.438,+37.125,-0.188,-22, -25, -3, 0, -2, -6, -1, -13
1503945525072,+0.822,+0.486,+0.245,+0.165,+1.035,-0.184,-0.521,+21.312,+25.812,+1.875,21, 16, 13, 13, 19, 28, 1, -19
1503945525095,+0.820,+0.486,+0.249,+0.170,+0.965,-0.255,-0.328,+34.062,+1.188,-14.562,16, -4, -8, -2, -4, 5, 2, 0
1503945525111,+0.818,+0.487,+0.251,+0.175,+0.790,-0.208,-0.330,+27.500,+5.312,-24.250,-2, 4, -6, -2, 1, 4, 1, -8
1503945525134,+0.813,+0.493,+0.254,+0.179,+0.815,-0.142,-0.398,+27.250,+46.625,-19.250,19, 3, 3, -3, 2, -5, 0, 4
1503945525155,+0.807,+0.499,+0.259,+0.182,+1.057,-0.242,-0.320,+30.500,+37.688,-12.688,6, 1, -14, -11, -5, -13, 2, 18
1503945525171,+0.804,+0.500,+0.262,+0.185,+1.148,-0.299,-0.257,+26.875,+4.312,-14.000,4, -16, -9, -3, -24, -7, -5, -4
1503945525192,+0.805,+0.495,+0.266,+0.190,+0.989,-0.333,-0.311,+28.625,-35.000,-4.062,6, 9, 5, 4, 18, -1, 7, -13
1503945525215,+0.808,+0.487,+0.269,+0.192,+0.892,-0.348,-0.331,+20.688,-44.062,+6.312,18, -20, -15, 4, -7, -8, -4, 16
1503945525239,+0.810,+0.483,+0.271,+0.192,+0.816,-0.365,-0.322,+7.688,-25.125,+6.562,44, -5, -12, -14, -17, -6, -12, 7
1503945525252,+0.811,+0.481,+0.273,+0.193,+0.759,-0.334,-0.320,+7.312,-3.875,-3.812,31, -3, -5, -15, -4, 0, 4, 9
1503945525275,+0.809,+0.482,+0.273,+0.194,+0.821,-0.304,-0.313,+4.562,+8.000,-14.188,-25, -4, -5, 6, 19, 2, 5, 1
1503945525291,+0.808,+0.485,+0.273,+0.196,+0.956,-0.265,-0.252,+0.750,+5.812,-13.562,-7, 15, -3, 3, -8, -3, -7, -6
1503945525312,+0.808,+0.485,+0.271,+0.196,+0.905,-0.283,-0.252,-11.312,-6.312,-6.250,-6, 2, 3, 2, 6, 0, -8, -11
1503945525329,+0.809,+0.485,+0.268,+0.195,+0.792,-0.190,-0.353,-19.000,-4.938,-4.875,-70, -27, -7, -6, -2, -7, 9, -17
1503945525351,+0.810,+0.485,+0.265,+0.195,+0.841,-0.174,-0.393,-14.812,+5.125,-1.812,19, -42, -6, -2, -14, -2, -9, -11
1503945525380,+0.811,+0.486,+0.263,+0.193,+0.978,-0.209,-0.314,-17.812,-3.188,+3.438,8, -4, 1, -6, 12, 6, 8, 10
1503945525395,+0.812,+0.485,+0.260,+0.192,+1.010,-0.204,-0.332,-20.375,-16.562,+2.938,-20, 4, -6, -10, -17, -2, -2, 3
1503945525411,+0.816,+0.480,+0.256,+0.192,+0.958,-0.240,-0.410,-18.625,-36.562,+2.625,28, 9, 5, 3, 6, 0, -1, -5
1503945528593,+0.807,+0.455,+0.306,+0.221,+0.950,-0.297,-0.377,-1.500,-7.750,+0.125,28, -3, -9, -4, -2, -2, -6, -18
1503945528612,+0.807,+0.455,+0.305,+0.222,+0.886,-0.247,-0.357,+0.750,-2.562,-0.125,13, 6, 7, 6, -9, -3, -5, -31
1503945528635,+0.807,+0.455,+0.306,+0.221,+0.847,-0.259,-0.396,+4.625,+4.375,+5.000,2, -12, -7, -5, -3, 2, -3, 10
1503945528650,+0.806,+0.456,+0.307,+0.221,+0.929,-0.299,-0.356,-0.875,+6.062,-0.312,3, -3, -6, -2, 8, -2, -3, 2
1503945528672,+0.806,+0.456,+0.306,+0.221,+0.966,-0.293,-0.289,-7.500,-2.625,-2.625,-5, -3, 7, 3, 0, 2, 10, 23
1503945528696,+0.807,+0.456,+0.303,+0.222,+0.890,-0.218,-0.336,-12.062,-11.000,-9.562,-9, -7, 0, -2, 1, -2, -10, -42
1503945528709,+0.808,+0.455,+0.300,+0.224,+0.836,-0.234,-0.418,-7.500,-9.750,-11.250,23, -2, -2, -5, -7, 9, 9, 26
1503945528732,+0.809,+0.454,+0.298,+0.225,+0.878,-0.283,-0.344,-6.125,-13.750,-4.875,6, 8, -1, 14, 29, 11, -6, -6
1503945528755,+0.809,+0.455,+0.297,+0.223,+0.843,-0.260,-0.345,-17.062,+4.500,+3.812,-15, -4, 0, -3, -5, -12, -2, 14
1503945528770,+0.810,+0.456,+0.294,+0.223,+0.840,-0.195,-0.440,-13.062,+8.312,-3.375,5, -10, -3, -7, -8, -1, 5, -2
1503945528800,+0.811,+0.456,+0.292,+0.224,+0.917,-0.247,-0.407,-10.062,-9.188,-8.250,35, 9, -3, -7, 2, 6, 2, 12
1503945528823,+0.812,+0.455,+0.289,+0.224,+0.875,-0.296,-0.362,-15.500,-13.125,-4.188,-4, 8, 3, -1, 5, -6, -1, 13
1503945528832,+0.813,+0.455,+0.286,+0.223,+0.858,-0.262,-0.391,-17.875,-3.500,-0.688,-8, -5, -6, -5, -20, 2, 12, 24
1503945528853,+0.815,+0.453,+0.284,+0.223,+1.004,-0.231,-0.375,-13.812,-18.875,-0.062,-25, 3, 9, 5, 0, -5, -1, -28
1503945528874,+0.817,+0.451,+0.283,+0.223,+0.942,-0.304,-0.401,-8.688,-19.750,+2.250,-13, -10, -7, -3, -7, -3, -1, -7
1503945528897,+0.819,+0.449,+0.280,+0.223,+0.703,-0.270,-0.409,-13.438,-12.938,-5.812,-8, -25, -23, -3, -3, -7, -16, -36
1503945528912,+0.818,+0.451,+0.278,+0.222,+0.800,-0.216,-0.363,-14.438,+12.312,-2.812,-18, 4, 13, 12, 11, 1, 0, 8
