,Orientation X,Orientation X,Orientation X,Orientation X,Orientation X,Orientation Y,Orientation Y,Orientation Y,Orientation Y,Orientation Y,Orientation Z,Orientation Z,Orientation Z,Orientation Z,Orientation Z,Orientation W,Orientation W,Orientation W,Orientation W,Orientation W,Accelerometer X,Accelerometer X,Accelerometer X,Accelerometer X,Accelerometer X,Accelerometer Y,Accelerometer Y,Accelerometer Y,Accelerometer Y,Accelerometer Y,Accelerometer Z,Accelerometer Z,Accelerometer Z,Accelerometer Z,Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope X,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Y,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Gyroscope Z,Gyroscope Z,Gyroscope Z,EMG1,EMG1,EMG1,EMG1,EMG1,EMG2,EMG2,EMG2,EMG2,EMG2,EMG3,EMG3,EMG3,EMG3,EMG3,EMG4,EMG4,EMG4,EMG4,EMG4,EMG5,EMG5,EMG5,EMG5,EMG5,EMG6,EMG6,EMG6,EMG6,EMG6,EMG7,EMG7,EMG7,EMG7,EMG7,EMG8,EMG8,EMG8,EMG8,EMG8,Roll,Roll,Roll,Roll,Roll,Yaw,Yaw,Yaw,Yaw,Yaw,Corr Acc X,Corr Acc  Y,Corr Acc Z,Corr Acc X,Corr Acc X,Corr Acc Y
,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,mean,std,amin,amax,RMS,Corr Roll,Corr Roll,Corr Roll,Corr Acc Y,Corr Acc Z,Corr Acc Z
9,0.633867448,0.073856554,0.453488372,0.825581395,0.638144269,0.557210189,0.12908243,0.456102784,0.916488223,0.571927266,0.509832474,0.135288276,0.088832487,0.659898477,0.527430564,0.262746241,0.186034659,0.126086957,0.869565217,0.321794493,0.419194654,0.033650994,0.316502463,0.588669951,0.420539548,0.580906009,0.161316834,0.125,0.814705882,0.602830942,0.786629203,0.046941908,0.731086411,0.968806024,0.788024833,0.558068699,0.085028806,0.22352789,0.73847696,0.564491973,0.433500857,0.047425416,0.321539432,0.628438035,0.436080421,0.53133662,0.082438339,0.178413443,0.740426009,0.537676914,0.517582663,0.060883353,0.25,0.725,0.521141687,0.381799377,0.039182724,0.177664975,0.532994924,0.383799341,0.528012649,0.042966542,0.333333333,0.705128205,0.529753274,0.444829352,0.014123152,0.359550562,0.573033708,0.445052897,0.583329787,0.015430219,0.402116402,0.698412698,0.583533284,0.649551632,0.012703717,0.6,0.717241379,0.649675514,0.5783573,0.031569913,0.409090909,0.727272727,0.579215982,0.560477134,0.037085734,0.38647343,0.768115942,0.561699459,0.363650403,0.074719265,0.150231769,0.439373044,0.371227176,0.430091702,0.151120962,0.303487242,0.916125791,0.4558017,-0.353556588,0.205932054,1,0.520393289,0.558576453,-0.003123556
10,0.643789554,0.085793188,0.46744186,0.934883721,0.649462338,0.501674448,0.142950542,0.39614561,0.933618844,0.521579437,0.552991595,0.090668934,0.284263959,0.657360406,0.560351324,0.203107627,0.126438146,0.073913043,0.573913043,0.239137821,0.412997658,0.029774878,0.330665025,0.523399015,0.41406606,0.647907425,0.159109409,0.180882353,0.826470588,0.66709582,0.770416566,0.032896479,0.692004303,0.864109,0.771116279,0.531776964,0.108439196,0.071547292,0.74171059,0.542685217,0.416499117,0.046425107,0.310950879,0.602523659,0.419070088,0.549898837,0.111712289,0.170581526,0.845906373,0.561094867,0.515887978,0.058756856,0.329166667,0.716666667,0.519212341,0.380860448,0.047802073,0.182741117,0.604060914,0.383838803,0.525094578,0.049949183,0.384615385,0.756410256,0.52745716,0.445551667,0.019823386,0.337078652,0.561797753,0.445990993,0.582583051,0.019948724,0.386243386,0.71957672,0.582923373,0.651034483,0.013315224,0.579310345,0.724137931,0.651170186,0.581371088,0.043892058,0.393939394,0.818181818,0.583020187,0.561431852,0.043352466,0.31884058,0.743961353,0.563097682,0.38188187,0.097349744,0.142377012,0.489556204,0.394055406,0.381254609,0.104579579,0.263448918,0.669110526,0.395292431,-0.229203642,0.488612557,1,0.197420506,0.420411358,-0.440593521
11,0.574459404,0.064463399,0.386046512,0.674418605,0.578054484,0.460335349,0.134074524,0.389721627,0.927194861,0.479408021,0.558709591,0.057002273,0.352791878,0.614213198,0.56160143,0.185545385,0.083883271,0.113043478,0.434782609,0.20357534,0.410645868,0.026794109,0.29679803,0.554802956,0.411516529,0.646138631,0.167763119,0.108823529,0.835294118,0.667500787,0.766176227,0.021910292,0.700250986,0.834707781,0.766488531,0.546895914,0.116072322,0.10105093,0.889248181,0.559042512,0.418679411,0.047261949,0.234112663,0.573231185,0.421330761,0.548013247,0.111845186,0.084469994,0.849611371,0.559277469,0.518323587,0.05556458,0.35,0.758333333,0.521284697,0.383961172,0.045608935,0.233502538,0.573604061,0.386652653,0.529164792,0.045938225,0.358974359,0.705128205,0.531149252,0.445479335,0.010491202,0.376404494,0.533707865,0.445602493,0.583201832,0.007155439,0.544973545,0.624338624,0.583245598,0.650070579,0.009505794,0.620689655,0.682758621,0.650139872,0.578903066,0.028473382,0.484848485,0.681818182,0.57960083,0.559906207,0.036601521,0.314009662,0.801932367,0.561097776,0.446007663,0.051460494,0.250944235,0.558767083,0.448957988,0.366798092,0.064191155,0.304263605,0.566913187,0.37235641,0.479884111,0.548222588,1,0.290696165,0.05473743,-0.732621961
12,0.619983962,0.115881271,0.406976744,0.937209302,0.630696212,0.489369662,0.134844741,0.35117773,0.892933619,0.507566715,0.579432872,0.035456207,0.482233503,0.659898477,0.580514174,0.171644178,0.055052551,0.095652174,0.365217391,0.180237454,0.406883812,0.018226107,0.315270936,0.484605911,0.407290883,0.640733604,0.153114306,0.119117647,0.776470588,0.658733366,0.761364639,0.013845102,0.731803514,0.815704554,0.761490223,0.566581232,0.104282936,0.236054972,0.904607922,0.576076578,0.41425415,0.031938862,0.305993691,0.536277603,0.415480742,0.526434781,0.070710151,0.216729186,0.689742694,0.531151589,0.517480843,0.053934421,0.266666667,0.770833333,0.520277481,0.381317463,0.030174626,0.284263959,0.578680203,0.382506762,0.527468317,0.036090004,0.435897436,0.653846154,0.528698704,0.44560248,0.009114024,0.415730337,0.494382022,0.445695461,0.583202579,0.013284499,0.465608466,0.708994709,0.583353512,0.650241776,0.009711832,0.606896552,0.696551724,0.650314132,0.581713689,0.02626112,0.439393939,0.712121212,0.582304797,0.562007885,0.027232194,0.347826087,0.763285024,0.562665754,0.405312892,0.100209217,0.152841182,0.579141055,0.417489333,0.350746291,0.039224455,0.287020838,0.486726841,0.352927729,0.424481615,0.27101795,1,0.456676121,-0.26297051,-0.823504177
13,0.739371685,0.096916915,0.497674419,0.927906977,0.745684295,0.599588431,0.137401891,0.43254818,0.937901499,0.615100613,0.382783665,0.198648933,0.07106599,0.682741117,0.43117028,0.443774896,0.279273181,0.095652174,1,0.524192364,0.444908968,0.051021925,0.290024631,0.626231527,0.44781933,0.633410733,0.150094748,0.104411765,0.864705882,0.650917564,0.832091683,0.072110504,0.708139118,1,0.835204381,0.553238285,0.118821561,0.191993533,0.934518998,0.565830047,0.423087603,0.0839291,0.120100946,0.76633799,0.431315989,0.535361553,0.10920398,0.051092051,0.87968646,0.546364581,0.517145874,0.069621463,0.208333333,1,0.521802218,0.381175726,0.042249482,0.243654822,0.680203046,0.383505506,0.527165492,0.046355904,0.371794872,0.833333333,0.529195745,0.444926298,0.013084043,0.286516854,0.494382022,0.445118264,0.583021339,0.008614652,0.544973545,0.645502646,0.583084856,0.649647106,0.012144619,0.565517241,0.696551724,0.649760392,0.577765964,0.042671396,0.257575758,0.772727273,0.579336523,0.5601793,0.045904175,0.275362319,0.768115942,0.562053319,0.265441723,0.107437662,0,0.406905086,0.286320902,0.576675057,0.226418723,0.26852336,1,0.619451069,-0.493869064,0.14715097,1,0.24768505,0.599865158,-0.102207765
14,0.616149492,0.094211456,0.488372093,0.930232558,0.623289633,0.500995309,0.143579808,0.366167024,0.946466809,0.521105561,0.431509296,0.169884944,0.060913706,0.631979695,0.463655617,0.345977305,0.208024996,0.1,0.817391304,0.403544037,0.436901391,0.038535724,0.343596059,0.524630542,0.438592605,0.631727618,0.153866713,0.172058824,0.860294118,0.650142538,0.809497723,0.054554641,0.731444962,0.93330943,0.811328568,0.528907104,0.103378918,0.053354891,0.742926435,0.53888643,0.41845553,0.064433089,0.261379,0.717667418,0.423372742,0.545119197,0.095825454,0.23526736,0.774206095,0.553453275,0.516483382,0.06537362,0.325,0.741666667,0.520592222,0.382348125,0.043559337,0.23857868,0.568527919,0.384814163,0.529663885,0.044386654,0.371794872,0.679487179,0.531515031,0.445583051,0.039398273,0.286516854,0.865168539,0.447316361,0.582957067,0.010378085,0.529100529,0.666666667,0.583049167,0.650197189,0.0201711,0.537931034,0.806896552,0.650509081,0.57993424,0.0544444,0.363636364,0.772727273,0.5824768,0.561349824,0.046951978,0.38647343,0.84057971,0.563304223,0.396647254,0.105923192,0.13492272,0.5127631,0.410506839,0.505532478,0.174854702,0.288805248,0.886819005,0.534834173,0.181373368,0.449766726,1,0.486666938,0.723862808,0.080032176
15,0.527445758,0.026206214,0.430232558,0.6,0.52809457,0.427834867,0.144988389,0.308351178,0.907922912,0.451669776,0.551711426,0.099735059,0.233502538,0.657360406,0.560628927,0.195688608,0.125239568,0.073913043,0.552173913,0.232239463,0.41144701,0.028401982,0.346059113,0.524014778,0.4124234,0.658186822,0.152653543,0.170588235,0.895588235,0.675609284,0.768306656,0.034620694,0.710648978,0.869845823,0.769084106,0.54309032,0.119329152,0.082050121,0.839534357,0.556009683,0.411272197,0.047375245,0.237717891,0.532899504,0.413984257,0.538686618,0.081306286,0.15574835,0.685207038,0.54477107,0.517527933,0.070350314,0.304166667,0.808333333,0.522274357,0.381206931,0.047075415,0.218274112,0.568527919,0.384094557,0.526822805,0.046951174,0.397435897,0.705128205,0.528905022,0.444212542,0.014288339,0.348314607,0.488764045,0.444441637,0.583207709,0.007076906,0.560846561,0.608465608,0.583250525,0.649547293,0.011237344,0.606896552,0.689655172,0.649644219,0.579270357,0.042050301,0.287878788,0.712121212,0.580790354,0.560615875,0.03807149,0.362318841,0.714975845,0.561903505,0.489638738,0.076384611,0.211431878,0.588608264,0.495544553,0.374064239,0.109782948,0.261063268,0.691180465,0.389798262,0.077048237,0.921822171,1,0.052800187,0.554013403,-0.573243657
16,0.498065971,0.047507172,0.4,0.653488372,0.500320782,0.426167898,0.143065278,0.338329764,0.897216274,0.449482522,0.59902362,0.045616693,0.459390863,0.662436548,0.600753586,0.14769299,0.064563471,0.069565217,0.343478261,0.16115529,0.399405914,0.020837971,0.320197044,0.490147783,0.399947743,0.6413753,0.153501491,0.125,0.842647059,0.659442851,0.753600149,0.017202853,0.700250986,0.82466834,0.753795973,0.563345355,0.125872317,0.118835893,0.914709782,0.577201361,0.416504336,0.040741424,0.261829653,0.561741325,0.418487146,0.529447235,0.081260844,0.104247562,0.678205779,0.535631267,0.517591412,0.050346771,0.304166667,0.683333333,0.520028076,0.382963845,0.047945831,0.177664975,0.695431472,0.38594591,0.529336735,0.049668133,0.371794872,0.961538462,0.531655912,0.445153061,0.01422536,0.376404494,0.584269663,0.445379717,0.582982399,0.019921107,0.343915344,0.783068783,0.583321795,0.650158339,0.018388651,0.517241379,0.8,0.65041767,0.579931973,0.037210211,0.348484848,0.757575758,0.581121468,0.562259686,0.041727022,0.338164251,0.734299517,0.563801967,0.513543323,0.072887149,0.283684579,0.590136968,0.518676902,0.324650563,0.05149694,0.256442922,0.458767095,0.32869919,0.251959406,0.76352656,1,0.356005937,0.034219551,-0.66160304
17,0.616582619,0.116386954,0.395348837,0.846511628,0.62744843,0.53708554,0.153186407,0.366167024,0.897216274,0.558459981,0.484573871,0.199567481,0.116751269,0.687817259,0.523980123,0.306636156,0.270562775,0.047826087,0.882608696,0.408749108,0.421501167,0.047845757,0.294950739,0.580665025,0.424202346,0.609315789,0.144866316,0.105882353,0.895588235,0.626264959,0.79624389,0.070750819,0.660810326,0.96055934,0.799374426,0.555938289,0.120622072,0.090541633,0.915117219,0.568846582,0.425475206,0.058420074,0.270842722,0.691302388,0.429458812,0.528919891,0.100906396,0,0.762669181,0.538439334,0.516289474,0.057103236,0.245833333,0.75,0.519431165,0.380561047,0.03613043,0.192893401,0.563451777,0.382268715,0.526126856,0.036325508,0.371794872,0.692307692,0.527376746,0.445014784,0.011670599,0.393258427,0.550561798,0.445167468,0.583157895,0.015874253,0.375661376,0.724867725,0.583373458,0.64937931,0.012959845,0.551724138,0.710344828,0.649508347,0.578851675,0.03727749,0.409090909,0.727272727,0.580048228,0.562115434,0.032810798,0.410628019,0.811594203,0.563070193,0.379611517,0.136363548,0.065677331,0.509245806,0.403312253,0.45937365,0.227341862,0.232752571,0.918852228,0.512444791,-0.698336332,0.225620969,1,0.168685755,0.763760973,-0.13441793
18,0.516573048,0.152857006,0.265116279,1,0.538665235,0.515716765,0.133045563,0.402569593,0.961456103,0.532564499,0.495903565,0.174554281,0.197969543,0.685279188,0.525662214,0.289292374,0.226565624,0.060869565,0.734782609,0.367295775,0.41794638,0.040429889,0.342980296,0.533251232,0.419892918,0.552682247,0.131375041,0.155882353,0.852941176,0.568047627,0.790189126,0.059229583,0.711724632,0.910003586,0.792400832,0.532884577,0.103195172,0,0.751818917,0.542762542,0.41540976,0.054408942,0.253941415,0.707525913,0.418949781,0.544553616,0.094734672,0.222082314,0.811704365,0.552714248,0.520381866,0.068382312,0.241666667,0.929166667,0.524845569,0.381249212,0.042256764,0.137055838,0.573604061,0.38357863,0.526769694,0.04454352,0.320512821,0.756410256,0.528645398,0.444187993,0.033226843,0.140449438,0.702247191,0.445426205,0.583013843,0.011615134,0.534391534,0.671957672,0.583129272,0.649614696,0.015750162,0.579310345,0.731034483,0.649805172,0.57996443,0.075437583,0,0.833333333,0.584839057,0.562076749,0.053310113,0.352657005,0.830917874,0.564593504,0.453674293,0.146052381,0.047427528,0.618179216,0.476553785,0.438969699,0.189770534,0.234709783,0.805889584,0.47814847,-0.324725324,0.072871911,1,-0.13503596,0.78518431,-0.497495368
