Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503614258122,+0.234,+0.328,-0.539,-0.739,+1.109,-0.198,-0.170,+3.250,+15.500,-6.312,26, 12, 10, 2, 2, 1, -1, -5
1503614258144,+0.236,+0.328,-0.540,-0.738,+1.065,-0.229,-0.119,+2.812,-3.062,-6.688,12, 10, 8, -2, -1, 0, 3, -4
1503614258174,+0.237,+0.327,-0.538,-0.740,+0.915,-0.275,-0.137,+0.312,-16.250,-10.688,-12, -3, -9, -4, -4, -2, 0, -11
1503614258189,+0.238,+0.327,-0.536,-0.741,+0.889,-0.311,-0.162,-1.750,-16.188,-3.250,27, -2, -6, 2, 2, 3, 4, 25
1503614258204,+0.238,+0.324,-0.534,-0.743,+0.903,-0.257,-0.140,-11.000,-19.500,-8.312,-9, -7, -1, -1, 12, 2, -8, -23
1503614258226,+0.238,+0.321,-0.535,-0.744,+0.914,-0.254,-0.183,-17.000,-0.562,-14.000,-33, -2, 11, 1, -13, -11, 2, 7
1503614258242,+0.239,+0.317,-0.538,-0.744,+0.896,-0.174,-0.155,-17.062,+5.938,-20.188,66, -2, -5, 1, -2, 2, 12, 44
1503614258267,+0.240,+0.314,-0.540,-0.743,+1.019,-0.200,-0.142,-12.188,+2.750,-15.438,45, 22, 13, 5, 5, 7, -5, -23
1503614258286,+0.240,+0.312,-0.543,-0.742,+1.103,-0.194,-0.138,-7.562,+7.625,-14.062,21, -2, -4, 0, -1, -1, -7, -16
1503614258303,+0.243,+0.310,-0.544,-0.741,+1.083,-0.175,-0.123,-2.125,-1.750,-17.688,-31, -5, -5, 0, 14, 9, -3, -16
1503614258324,+0.244,+0.308,-0.545,-0.741,+1.029,-0.215,-0.123,-2.625,-8.125,-16.062,7, -1, -11, -10, -15, -9, -1, 2
1503614258346,+0.246,+0.306,-0.545,-0.741,+0.959,-0.215,-0.136,-8.125,-9.750,-14.125,-38, -16, -11, -6, -9, -6, -11, -36
