Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503612771860,-0.453,-0.525,+0.450,+0.563,+0.955,-0.174,-0.002,+11.438,+8.062,-7.250,-5, -1, 1, -1, -2, -2, 1, -7
1503612771875,-0.455,-0.526,+0.450,+0.561,+0.949,-0.180,-0.009,+12.812,+5.750,-11.625,0, 32, 12, 3, 2, 1, -8, -3
1503612771897,-0.456,-0.526,+0.449,+0.560,+0.938,-0.205,-0.011,+9.250,+1.875,-5.562,-14, 30, 13, 2, -2, 2, -5, -10
1503612771920,-0.456,-0.527,+0.450,+0.559,+0.929,-0.212,+0.014,+2.562,+1.062,-6.000,4, 18, 8, 6, -2, -6, 12, 7
1503612771935,-0.456,-0.527,+0.451,+0.558,+0.921,-0.223,+0.035,-1.875,+6.438,-8.125,2, 7, 0, 0, 2, -1, 12, -1
1503612771957,-0.456,-0.526,+0.452,+0.558,+0.964,-0.210,+0.039,-8.062,+1.625,-10.438,10, 57, 15, 2, 1, 3, 4, 2
1503612771980,-0.456,-0.524,+0.454,+0.558,+1.012,-0.174,+0.029,-11.938,-2.312,-11.188,-4, -31, -16, -7, -8, -6, -1, -5
1503612772002,-0.457,-0.521,+0.455,+0.559,+1.002,-0.141,+0.000,-14.062,-13.375,-12.875,2, 4, 3, -4, -14, -9, -3, 4
1503612772025,-0.461,-0.516,+0.456,+0.560,+0.984,-0.118,-0.031,-11.312,-19.750,-19.312,0, 4, -3, -3, 20, 6, 1, 1
1503612772040,-0.464,-0.512,+0.457,+0.560,+0.957,-0.150,+0.009,-8.500,-18.062,-26.688,-1, -9, -5, -4, -3, -9, -11, -7
1503612772062,-0.467,-0.509,+0.459,+0.559,+0.969,-0.172,+0.023,-5.562,-10.562,-28.812,9, -6, -6, -1, -3, -3, 4, 1
1503612772077,-0.469,-0.507,+0.461,+0.557,+0.979,-0.149,-0.007,-1.062,-0.500,-27.812,1, 2, 1, 1, 3, -1, -1, -1
1503612772100,-0.472,-0.505,+0.463,+0.554,+1.005,-0.140,-0.007,+0.000,+2.438,-29.188,-1, 13, 6, 0, -8, -5, -4, -3
1503612772122,-0.475,-0.503,+0.466,+0.551,+1.017,-0.106,+0.017,-0.625,+0.875,-33.062,-8, 13, 10, 1, 1, 8, -1, -4
1503612772137,-0.478,-0.501,+0.469,+0.548,+1.026,-0.076,+0.009,+0.750,-2.250,-30.688,3, -4, -3, -1, -7, -3, -2, 2
1503612772160,-0.482,-0.498,+0.471,+0.546,+1.033,-0.091,-0.025,+2.688,-5.750,-29.875,-2, -3, -7, -9, 5, -4, 9, -2
1503612772185,-0.486,-0.495,+0.472,+0.545,+1.040,-0.082,-0.043,+1.812,-11.625,-30.062,-5, -3, 1, 5, 3, 1, -4, 4
1503612772197,-0.490,-0.491,+0.472,+0.543,+1.015,-0.058,-0.025,+2.062,-17.562,-28.562,-1, 0, 6, 5, -14, -7, -7, -2
1503612772220,-0.494,-0.488,+0.472,+0.543,+0.952,-0.081,-0.028,+0.875,-17.500,-21.250,-9, -19, -5, 0, -7, -3, 3, 0
1503612772242,-0.496,-0.486,+0.472,+0.543,+0.934,-0.084,-0.036,-1.938,-10.188,-16.438,-1, -3, -4, -3, -7, -3, 2, -1
1503612772257,-0.497,-0.484,+0.474,+0.542,+0.983,-0.066,-0.024,-4.688,-3.438,-17.938,-6, 1, -1, 0, -13, 0, -10, -9
1503612772280,-0.499,-0.482,+0.475,+0.541,+1.021,-0.028,-0.049,-3.938,-6.188,-16.125,6, 4, 0, 1, 7, -4, 4, 5
1503612772302,-0.502,-0.480,+0.475,+0.541,+1.014,-0.035,-0.046,-2.625,-9.750,-14.250,5, -12, -9, -2, -1, -1, -2, 0
1503612772320,-0.503,-0.478,+0.475,+0.541,+1.007,-0.056,-0.040,-3.188,-10.625,-13.375,0, -8, -2, 3, 11, 4, -6, 1
1503612772340,-0.505,-0.475,+0.475,+0.542,+1.018,-0.055,-0.069,-5.000,-17.875,-10.312,-2, -2, 0, -1, -3, -2, -7, -5
1503612772362,-0.507,-0.472,+0.474,+0.543,+0.997,-0.021,-0.079,-7.438,-16.062,-7.062,-1, 9, -3, -3, 8, 1, -2, 3
1503612772377,-0.509,-0.470,+0.473,+0.544,+0.987,-0.004,-0.096,-6.688,-16.062,-4.250,16, 1, -3, -2, 0, -2, -1, -5
1503612772400,-0.509,-0.468,+0.473,+0.546,+1.010,-0.036,-0.071,-9.000,-11.938,-2.000,-4, -14, -2, -3, 31, 7, 7, 0
1503612772422,-0.509,-0.466,+0.474,+0.547,+0.994,-0.038,-0.030,-12.812,-8.938,-1.312,3, 15, 6, 1, -32, -10, 6, -9
1503612772437,-0.508,-0.465,+0.474,+0.549,+1.013,-0.014,-0.055,-11.562,-8.625,+1.312,-1, -3, 2, 3, -7, -1, 1, 43
1503612772461,-0.509,-0.463,+0.474,+0.550,+1.049,+0.010,-0.087,-10.125,-10.000,+0.062,-7, -2, -3, 0, 13, -1, 4, 8
