Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1503604436590,-0.881,-0.421,+0.040,+0.212,+0.817,-0.093,-0.564,+12.125,+13.938,+10.188,-12, -2, -3, -3, -9, -1, 2, 2
1503604436612,-0.880,-0.423,+0.037,+0.213,+0.845,-0.144,-0.544,+6.500,+4.688,+15.500,26, 13, 5, 3, 8, 5, 5, 4
1503604436634,-0.879,-0.423,+0.036,+0.216,+0.861,-0.131,-0.543,-1.500,-5.125,+18.750,-20, -21, -4, -2, -2, 9, 6, 1
1503604436654,-0.879,-0.423,+0.035,+0.218,+0.796,-0.062,-0.662,+2.500,+0.125,+19.750,-7, 7, 0, 2, 30, 15, 5, -2
1503604436672,-0.878,-0.424,+0.032,+0.220,+0.708,-0.083,-0.624,+12.750,+10.250,+20.938,4, 3, -8, -11, -30, -10, -4, 2
1503604436694,-0.876,-0.426,+0.027,+0.222,+0.783,-0.163,-0.552,+16.375,+4.688,+22.375,-4, -15, -7, -2, 6, -4, -9, -4
1503604436710,-0.875,-0.428,+0.025,+0.225,+0.877,-0.206,-0.533,+3.500,+1.938,+21.938,0, -7, -2, 1, -8, 3, -1, -1
1503604436732,-0.874,-0.428,+0.023,+0.228,+0.798,-0.177,-0.582,+2.062,-5.250,+17.750,5, 11, 1, -2, -25, -12, -1, -4
1503604436754,-0.875,-0.426,+0.021,+0.229,+0.730,-0.124,-0.615,+2.812,-8.312,+7.625,-7, 3, 6, 3, 6, -3, -1, -2
1503604436770,-0.876,-0.424,+0.019,+0.230,+0.802,-0.199,-0.571,+1.875,-18.688,+9.125,2, 2, -3, 0, -4, -3, -7, 3
1503604436793,-0.876,-0.422,+0.018,+0.234,+0.827,-0.183,-0.567,-10.938,-18.938,+25.312,-7, 2, -4, -5, 9, 5, -1, -3
1503604436814,-0.875,-0.420,+0.017,+0.239,+0.833,-0.087,-0.628,-9.000,-13.000,+32.688,-1, -11, -4, -3, 14, -6, -9, -6
1503604438675,-0.829,-0.521,+0.075,+0.191,+0.911,-0.051,-0.398,-35.875,-20.625,-3.000,-54, -18, -4, -2, 53, 14, -3, -17
1503604438699,-0.831,-0.516,+0.079,+0.194,+0.932,-0.047,-0.424,-35.750,-25.625,-2.125,-8, 6, 7, 0, -3, -10, -1, 6
1503604438711,-0.833,-0.511,+0.083,+0.197,+0.889,-0.025,-0.439,-33.188,-27.062,-1.938,-14, -13, -15, -4, -14, -4, -3, -34
1503604438736,-0.835,-0.506,+0.087,+0.199,+0.836,+0.010,-0.485,-26.750,-19.875,-4.125,17, 11, -2, -3, -14, -7, -7, 5
1503604438756,-0.836,-0.503,+0.090,+0.199,+0.876,-0.023,-0.484,-21.875,-13.875,-8.438,60, 9, 10, 4, -1, -1, 0, 1
1503604438771,-0.838,-0.499,+0.093,+0.200,+0.878,-0.056,-0.463,-21.438,-17.438,-10.938,-16, 11, 10, 3, -15, -3, 7, 7
1503604438794,-0.839,-0.497,+0.097,+0.201,+0.879,-0.034,-0.456,-21.000,-6.375,-7.625,10, 5, -6, -3, 0, 3, 9, 5
1503604438816,-0.839,-0.496,+0.099,+0.201,+0.864,+0.008,-0.489,-15.938,+0.812,-3.875,42, 15, 16, 6, 2, 6, 6, 15
1503604438839,-0.838,-0.496,+0.101,+0.201,+0.817,+0.015,-0.499,-9.062,+10.750,-3.375,13, -4, -11, -2, 1, 0, 2, 24
1503604438854,-0.837,-0.499,+0.103,+0.202,+0.961,-0.022,-0.426,-8.938,+14.938,+4.625,8, 12, 0, -3, -28, -9, -4, -10
1503604438876,-0.837,-0.499,+0.104,+0.201,+0.910,+0.012,-0.459,-5.750,+1.875,-7.812,-42, -13, 10, 1, -55, -21, -5, -18
1503604438891,-0.837,-0.498,+0.105,+0.201,+0.887,-0.009,-0.438,-4.062,-3.625,-4.375,10, -3, -8, -1, 16, 4, -6, 9
1503604438914,-0.838,-0.496,+0.106,+0.200,+0.887,+0.009,-0.416,-3.875,-9.625,-4.812,-21, -8, 2, 4, 88, 29, -3, -5
1503604438929,-0.839,-0.495,+0.106,+0.200,+0.871,-0.000,-0.444,-2.500,-5.438,-3.688,-16, -6, -2, -1, -8, -6, -8, -5
1503604438951,-0.838,-0.497,+0.097,+0.204,+0.784,-0.247,-0.437,+26.062,+0.000,+36.000,-20, -6, -4, -1, 0, -3, 2, 12
1503604438975,-0.835,-0.502,+0.101,+0.201,+0.960,+0.083,-0.408,-4.875,+32.375,-9.875,13, 0, -5, -5, 9, 10, -3, 3
1503604438996,-0.833,-0.506,+0.101,+0.201,+1.040,-0.017,-0.459,+4.062,+25.000,+3.688,-14, -5, -7, -3, -11, -8, -1, -13
1503604439011,-0.831,-0.509,+0.097,+0.202,+0.958,-0.179,-0.433,+15.438,+15.000,+12.500,7, 5, 0, -1, 1, 6, 4, 3
1503604439035,-0.830,-0.510,+0.093,+0.203,+0.972,-0.148,-0.503,+7.812,+8.312,+13.750,3, -14, -7, -6, -26, -8, 0, 1
1503604439056,-0.829,-0.512,+0.090,+0.206,+0.959,-0.076,-0.447,+8.188,+6.312,+21.250,-20, -15, -6, 1, -4, -3, -1, 2
1503604439072,-0.828,-0.514,+0.086,+0.208,+0.929,-0.144,-0.408,+13.938,+7.938,+23.812,-10, 0, -3, -5, -19, -7, -1, -9
1503604439094,-0.826,-0.517,+0.081,+0.210,+0.968,-0.149,-0.434,+13.500,+9.875,+24.375,-4, 1, 9, -2, -3, -1, -6, -12
1503604439116,-0.825,-0.518,+0.076,+0.213,+0.975,-0.124,-0.433,+15.250,+2.875,+27.875,-19, -3, -3, 1, 4, 10, 3, 12
1503604439131,-0.824,-0.519,+0.071,+0.216,+0.943,-0.127,-0.424,+17.375,-4.125,+30.500,21, 9, 2, 1, 5, -7, -8, 0
1503604439153,-0.824,-0.518,+0.065,+0.219,+0.862,-0.126,-0.446,+17.438,-6.000,+33.062,49, 7, 2, 1, -9, -4, -4, 4
1503604439176,-0.823,-0.520,+0.059,+0.222,+0.814,-0.107,-0.447,+20.125,+5.000,+34.188,2, -12, -3, -8, -9, -3, 2, 7
1503604439191,-0.822,-0.521,+0.053,+0.224,+0.871,-0.120,-0.417,+21.625,+6.625,+32.562,-4, 7, 10, 2, -47, -15, 2, -12
1503604439214,-0.821,-0.523,+0.047,+0.226,+0.926,-0.126,-0.402,+23.250,-0.750,+32.812,8, -3, -3, -2, -10, -6, -3, -7
1503604439236,-0.821,-0.522,+0.040,+0.228,+0.872,-0.118,-0.435,+26.250,-13.312,+34.125,-18, -1, -5, 0, -14, 3, 1, -2
1503604439251,-0.822,-0.519,+0.033,+0.231,+0.806,-0.108,-0.459,+28.875,-20.188,+35.438,-8, 5, 8, 7, 29, 14, -1, 5
